Education,Education FOS
Université de SEVILLA,"stratégie international, Master en Direction de communication d’entreprise"
Université de Savoie,Réseaux & Télécoms
Université de Sherbrooke,"Marketing / gestion du marketing, général"
Université de Strasbourg,"Gestion et droit des énergies et développement durable, Neurochirurgie, Observation de la Terre et Géomatique, Oncologie, Techniques microchirurgicales, Neuroradiologie"
Université de Tanger,Droit du commerce international
Université de Technologie de Belfort-Montbéliard,"Artificial Intelligence, Système intelligents et imagerie"
Université de Technologie de Troyes,Sciences et technologies de l'information et de communication
Université de Toulon,Recovery of alumino-silicate by-products resulting from industrial processing of phosphates
Université de Toulouse-le-Mirail (Toulouse II),Formation au Master de Sciences de Sociologie Appliquées à l'Alimentation (SSAA)
Université de Tours,droit des affaires
Université de Valenciennes et du Hainaut-Cambrésis,"Management  of Quality Environment Hygien and Safety, management Qualite, Gestion de patrimoine, Logistique Globale, Genie civil architecturale et urbain"
Université de Versailles Saint-Quentin-en-Yvelines,"Evolutions technologiques, organisationnelles et stratégiques, RH, Master recherche Chimie des substance naturel et produits pharmaceutique"
Université de Versailles Saint-Quentin-en-Yvelines -France,"Génie Logistique, E-logistique et Supply Chain Durable"
Université de l'Atlantique,Sciences de la gestion
Université de la Sorbonne Nouvelle	        Paris,Négociation  Commerciale Internationale.Techniques de Communication
Université de perpegnan via domitia,Droit des Affaires
Université des Sciences Economiques et de Gestion Hassan II Casablanca,Corporate Finance and Capital Markets
Université des Sciences et Techniques du Languedoc (Montpellier II),Informatique décisionnelle
Université des Sciences et Technologies de Lille (Lille I),"Instructional Technology, Commerce international"
"Université des Sciences et Technologies de Lille, France",Audit et Contrôle de Gestion
Université du Droit et de la Santé (Lille II),"Ingénierie patrimoine, Recherche en marketing"
Université du Havre,"Droit international et études juridiques internationales, Droit International des Affaires, Droit international des affaires, du commerce et droit fiscal"
Université du Littoral Côte d'Opale,"Gestion de  production ,logistique et achats, Logistique, Transport et management portuaire, Genie logistique, Risques Industriels et Maintenance, International Business & Economic Engineering, Logistique et management portuaire, Logistique, Transport et Achat, Logistique et transport, Génie logistique (achat, logistique et transport), Gestion production - achat - Logistique, Economie et gestion de l'environnement et développement durable, Réseaux et Télécom, Droit bancaire, des affaires, de la finance et des valeurs mobilières, Développement Internet et Mobile, gestion portuaire, Technologies de l''information, Droit, production/qualité/achat ..."
Université du Québec en Abitibi-Témiscamingue,Sciences géologiques et de la Terre / géosciences
Université du Québec à Chicoutimi,"Management, Entrepreneuriat et Management des Organisations, Administration et gestion des affaires, général, Affaires / gestion, général, Maitrise orientée RH et relations industrielles, Management des organisations, Gestion des Organisations, management et gestion des organisations, Entrepreneurship & Management des Organisations/ Maître ès Sciences (M.Sc), Gestion des organisation, Business Administration and Management, Gestion des organisations, Management des organisation, Économie de gestion, finance, management, Business Administration and Management, General"
Université du Québec à Montréal,"eps, Marketing, Business Administration"
Université du Sud Toulon Var,Sciences de la mer
Université d’Orléans d’administration d’entreprise,Option : Finance Contrôle de Gestion et Audit.
Université hassan 1er,"Marketing / gestion du marketing, général, Information Technology"
Université hassan 1er - Ecole supérieure de technologie de Berrechid,Gestion des ressources humaines
Université hassan 1er FST Settat,"Génie industriel, Ingénierie / gestion industrielle"
Université hassan 2 Mohammedia,Biotechnologie et Management de la qualité dans les industries Agroalimentaire et Pharmaceutique
Université hassan 2 mohammedia,Gouvernance des systèmes d'information
Université hassan II,Réseaux et systèmes
Université hassan II Aïn Sebaa,Marketing et commerce
Université hassan II Mohammedia,Management Comptable et Financier
Université hassan II ain sbaa,Ingenierie financiere
Université hassan II aïn chock casablanca,Droit des affaires
Université iae Toulouse,marketing stratégique
Université ibn Tofail,chimie analytique
Université ibn tofail,"Gestion financière et comptable, Analyse Financière, managment logistique et supply chain"
Université ibn tofial,science physique
Université ibn- tofail,science de la vie
Université ibno tofail,Comptabilité et finance
Université internationale de Casablanca,"Leadership et Décision, Marchés et Ressources Des opérations et des ressources"
Université internationale de casa,"contrôle de gestion, Génie civil"
Université internationale de casablanca,"marketing, communication et nouveaux médias"
Université libre de Bruxelles,"Énergie, Art, Culture & Révolution, Gestion des Transports/Logistique /planification urbaine"
Université mohamed 5 Souissi,Droit des affaires
Université mohamed 5 souissi rabat,Finance des marchés et de l'entreprise
Université mohamed 5- souissi Rabat,Marketing stratégique etmanagement commercial; Economie et Gestion
Université mohammed V - Rabat Agdal,Actuariat & Finance
Université mohammed V Agdal / Faculté des Sciences Rabat,Mécanique Energétique
Université mohammed V Souissi,Langue Francais
Université mohammed v rabat,entrepreneuriat et création d'entreprise
Université mundiapolis,Management de la chaîne logistique
Université paris 5,Hématologie Biologie
Université privée de Fes UPF,Management des systèmes d'information
Université privée de Marrakech,Technologies de l'information et de la communication
Université rabat,Entrepreneuriat / études entrepreneuriales
Université sciences et techniques Settat,Méthodes informatiques appliquées à la gestion des entreprises
Université sidi Mohammed Ben Abddellah - FES,Qualité Logiciel
Université sidi mohamed ben abdellah Fes,Ecologie et conservation de l'environnement pour un développement durable
Université sidi mohamed ben abdellah fes,sciences economiques et gestion
Université sidi mohammed ibn abdellah,Management des ressources et compétitivitè des entreprises
Université soltane moulay sliman bni mellal,management qualité des indestries agro-alimentaires
Université soussi Rabat,Économie de gestion
Université sultan Molay soulaiman,"Human Resources Management/Personnel Administration, General"
Universités CADI AYYAD,Ingénierie - Génie Civil
Universités Ibn Tofail,"Finance et comptabilité, Gestion comptable et financière"
Universitė Mohamed V,Banque et Finance
Universtiè Ibno Tfail,Master Managment de projet
Universtié HASSAN II Mohamedia,Économie et Gestion
Universté HASSAN II,Sciences Economiques et Gestion
Universté Mohammed V - Faculté de médecine et de pharmacie de Rabat - Maroc,Santé communautaire et médecine préventive
Universté Sidi Mohammed Ben Abdellah-Fès,Science environnementale
Univertsité Hassan II,Gestion des entreprises
Univesité Hassan 2 Mohammedia,Linguistiques Anglaises
Univesité Hassan II,Finance
Univesité Hassan II - Faculté des Sciences et techniques de Ben M'sik,Ingénierie de Formation et Didactique des Sciences et Techniques (IFDST)
Univesité Ibn Tofail,Industrial Project Management
Univeste cadi ayyad Marrakech,Sciences Juridiques
Univérsité AbdelMalek Essaadi - FP Tétouan,Informatique de gestion
Unversity Hassan II Mohammedia,Sociologie et anthropologie
Utah State University,Business Information System
Utrecht Summer School,Modern European Arts From van gogh to picasso
Utrecht University,"Project Management, Logistics, Materials, and Supply Chain Management, Business simulation, Project management, International Business"
Uuniversity hassan II mohammedia,Économie
Val d'anfa,Sciences physiques
Valencia College,Engineering
Valorioum,Management de projet
Vertex Consulting,"Systèmes d'information/Finance/Contrôle de gestion, SAP"
Vesalius College,Business Administration and Communication
Via lingua program,Teaching English as a Second or Foreign Language/ESL Language Instructor
Virginia Tech,Economic Empowerment & Social Entrepreneurship
Vmware,Vmware Network Virtualization
Vmware SDDC,Cloud et virtualisation
Wall street institute,langue anglaise
Washington College Maryland,Business Administration
Webster University,"Business Administration and Management, General"
West Virginia University,"Computer Science, Business Administration, Sport Management, Accounting and Finance, Communication and Media Studies, International Business"
Wichita State University,"Electrical Engineering (Computer Networking and Power Systems), Electrical and Electronics Engineering"
Willamette University,"Business Administration and Management, General"
Wine & Spirit Education Trust,wine
Worcester Polytechnic Institute,"Engineering and Economics, Computer Science"
World Education Services CANADA,Economics and Management
World institute of Nuclear security Academy,Nuclear Security
Worldlink Center,Développement web - Initiation à HTML
Xiamen University,Economics
York St. John College,Leadership Innovation & Change
Youssef ben tachfine,Science de vie et de terre
Youth Startups in Greater Europe,Entrepreneurship/Entrepreneurial Studies
ZENTRUM DER DEUTSCHEN SPRACHE,Langue et littérature allemandes
Zigurat Global Institute of Technology,"Génie civil, BIM"
Ziri ben attia - Oujda,Sciences expérimentales - OLF
Zone Conseil,"Comptabilité, Gestion des Ressources Humaines / Administration du Personnel"
"Zone conseil SARL ""cambridge school""","Human Resources Management/Personnel Administration, General"
akhawayn university,Marketing/finance
al akhawayn,Marketing
al imam alghazali,Étude des sciences
al jazeera media training and development center,Étude de la communication et des médias
al maali institute,Banque
american language center,english
anwal,History
axa académie,assurance
best institut,analyse informatique
brevet de technicien supérieur,Management touristique
brevet technicien supérieur maroc,COMMERCE
british council rabat,anglais académique
cabinet fiduciaire,comptabilité
cadi ayyad,Electromechanical Engineering
cady ayyad university of Marrakech,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician
campus europa marrakech,"Vente, distribution et opérations de marketing, général"
casa moda academy,creation et stylisme de mode
centre Ibn Taymiya,Licence Fondamentale en G.E
centre d'enseignement des sciences appliqué,Finance et services de gestion financière
centre d'enseignement des sciences appliqués,developpement inforrmatique
centre de développement des compétences,"hôtellerie et tourisme /hospitality , tourism"
centre de formation en agro-alimentaire,agro-alimentaire
centre de l'OFPPT,reseau informatique
centre de langue et culture,"Langue anglaise et littérature, général"
centre de préparation BTS,système réseaux informatiques
centre eclipse,développement informatique
centre international de formation de la profession bancaire,chargé de clientèle de banque
centre palmier d'informatique et gestion,infographie
centre palmier d'informatique et gestion e,bureautique
centre philips,Comptabilité et commerce / gestion
chouaib doukkali,physique de la Matière et de Rayonnement
chouaib doukkali el jadida,Option Chimie Minérale
ciel,Marketing
cifbp,banque
cisco,Mise en réseau de systèmes informatiques et télécommunications
classe préparatoire,physique  et science d'ingénieure
clever school,développement informatique
complexe de formation agroalimentaire et plasturgie ain sebaa,spécialiste hygiène et qualité alimentaire
conseil de ville de Marrakech,"géographie, géopolitique , développement durable"
cpge khanssae,"Économie, commerce option technologique"
crestcom,Leadership organisationnel
domaines royales,Botanie / Biologie végétale
développement  informatique,Informatique
eatc Casablanca,Dessin architectural et CAO / DAO architecturale
ecole bancaire,chargée de clientele
ecole de formation des professeurs de mathématiques - souissi -  rabat,mathimatiques et économie
ecole elkhaouarizm,International Business/Trade/Commerce
ecole formation cadres ministère interieur kenitra,animation economique
ecole hassania des travaux public,TEHNIQUES ET MANAGEMENT DES BTP
ecole marocaine des sciences de l'ingenieur,"analyse, conception, modélisation et pilotage de projet  informatique"
ecole national de commerce et gestion ENCGT,Marketing et commerce international
ecole nationale de commerce et de gestion el jadida,marketing et communication commerciale
ecole nationale des sciences appliquees de tetouan,Informatique
ecole normale supérieue fes maroc,d'enseignement des sciences e la vie et de la terre
ecole normale supérieure Marrakech,Informatique
ecole superieure de technologie,technique de management
ecole supérieur de technologie de Meknes,Étude du cinéma
ecole supérieure Roi Fahd de traduction,conbinaison linguistique arabe-français-anglais
ecole supérieure de l'industrie du textile et de l'habillement,gestion de la chaine logistique
ecole supérieure de technologie,TECHNIQUES DE MANAGEMENT
ecole supérieure de technologie d'agadir,commerce international
el jabri,Chimie physique
el khawarizmi marrakech,sciences svt
elbilia sup,"Comptabilité et commerce / gestion, gestion des entreprises"
elmansour eddahbi sidi kacem,Science mathematique A
eltc consulting,QHSE
emlyon business school,Entrepreneurship/Entrepreneurial Studies
encg kenitra,"Gestion des ressources humaines  / administration du personnel, général"
encg settat,"marketing et développement commercial, Audit"
enite,Économie
esaj,Architecture du paysage
esav,Cinématographie et production de films / vidéos
escalpharm,industrie pharmaceutique
esith,Gestion des achats et sourcing
existe infirmatique,"Informatique (exel,word.........)"
faculete de science d education,technologie de l information et l innovation pedagogiques
facult of human sciences ben msik casablanca,linguistics
faculte de medecine et pharmacie rabat,Doctorat
faculte des sciences economiques juridiques et sociales Route ELJADIDA,management des organisations
faculte des sciences et techniques Fes,"Maintenance industrielle, Maintenance  industrielle"
faculte des sciences rabat,biologie sante
faculte des sciences semlalia marrakech,Ingénierie
faculte polydisciplinaire de safi,economie et gestion
faculty Mohammedia,Sociologie et anthropologie
faculty ibn zohr,science juridique
faculty of sciences and techniques of settat,Génie Industriel et Maintenance
facultè polydisciplinaire de Beni Mellal,Marketing et action commerciale
faculté Cadi Ayyad Marrakech,tourisme patrimoine et developpement durable
faculté Hassan II Ain chok Casablanca,technique de vente et relation clientèle
faculté abdelmalek essaadi,agroalimentaire
faculté abdelmalek essadi,informatique de gestion
faculté de medecine et pharmacie,Oncologie et biologie du cancer
faculté de medecine et pharmacie rabat,assurance qualite medicament
faculté de médecine et de pharmacie Rabat,Bio medical
faculté de médecine et de pharmacie de rabat,assurance qualité des médicaments
faculté de science juridique Economique et sociale,techniques bancaires et financiers
faculté des Sciences Ben M'sik,Sciences de l'environnement et développement durable
faculté des Sciences et Techniques Marrakech,Elè Systèmes Electriques et Télécommunications ISET
faculté des Sciences et Techniques settat,Licences Sciences et Techniques sciences Biomédicales
faculté des lettres et des sciences humaines Ain Chock,Psychologie
faculté des lettres et sciences humaines,psychosociologie
faculté des science Ben M'sik casablanca,Biotechnologie
faculté des science et technique de Mohammedia,Science physique pour l'ingénieur
faculté des sciences  casablanca,Mathématiques et informatique
faculté des sciences Ain Chock,"Biologie, général"
faculté des sciences Ben M'sik,Chimie
faculté des sciences Dhar El Mahrez,Biological and Biomedical Sciences
faculté des sciences Ibn tofail,"management de qualité, hygiène, sécurité et environnement"
faculté des sciences Meknès,Physique
faculté des sciences ain chock,"EAI, transport&logistique"
faculté des sciences ain chock casablanca,système d'information géographique et gestion du territoire appliquée à l'environnement
"faculté des sciences ain chock université hassan ii casablanca ,",Ingénierie informatique
faculté des sciences de rabat,physique des matériaux
faculté des sciences de tétouan,"Informatique, chimie industrielle"
faculté des sciences et technique Mohammedia,"génie électrique et télécommunication      option : ""réseau et commande électrique"""
faculté des sciences et technique saïs fès,contrôle  qualité  des médicaments
faculté des sciences et techniques d'Errachidia,"informatique, électronique, électrotechnique et automatique"
faculté des sciences et techniques de  mohammedia,génie énergetique
faculté des sciences et techniques de fes,"biologie,chimie, géologie"
faculté des sciences et techniques de mohaamedia,Physical Sciences
faculté des sciences et techniques de settat,"Ingénierie et management industriel, Informatique de Gestion, Génie Énergétique"
faculté des sciences et technqiues,Génie industriel
faculté des sciences fes,"physique nucléaire,physique médicale"
faculté des sciences juridique économique et sociale marrakech,stratégie et management des ressources humaines
faculté des sciences juridiques Economiques et sociales Ain Sbaà,Économie de gestion
faculté des sciences juridiques et économiques et sociale souissi rabat,Techniques bancaires
faculté des sciences juridiques économique et sociales,Management Finance
faculté des sciences juridiques économiques et sociales Fès,"droit des affaires, droit privé en langue française"
faculté des sciences juridiques économiques et sociales de Casablanca,économie et Gestion
faculté des sciences juridiques économiques et sociales de fes,assurances
faculté des sciences juridiques économiques et sociales des fes,Économie de gestion
"faculté des sciences juridiques, économique et social",Économie
faculté des sciences semlalia,l'assainissement
faculté des sciences semlalya,BTP
faculté hassan II ain chock casablanca,Chimie analytique et environnement
faculté medecine dentaire casablanca,medecine dentaire
faculté polydischiplinaire  de tetouan,logistique et transport
faculté polydisciplinaire Larache,Informatique de gestion
faculté polydisciplinaire d'El Jadida,"Ingénierie des ressources humaines et développement social, management des ressources humaines"
faculté polydisciplinaire d'el jadida,Comptabilité et finance
faculté polydisciplinaire de Tétouan,Systèmes d''information de gestion et développement C#
faculté polydisciplinaire de larache,Management
faculté polydisciplinaire de ouarzazat,Gestion touristique et communication
faculté science économique de Tanger,science économie et gestion
faculté sciences et techniques  settat,instrumentation et maintenance  biomedicales
faculté sciences techniques settat,"Programmation informatique, applications spécifiques"
faculté sidi mohammed ben abdellah fès,droit privé
faculté universitaires sidi mohammed bne abde allah fes,Economie et gestion
facultés de droit de Casablanca,Droit international et études juridiques internationales
facultés des sciences Dhar Mahraz,colloide
fes,chimie informatique et structurale
finance networek,Comptabilité et fiscalité
fiuwado,Comptabilité
formation,Traitement de texte et les outils informatique
formation continue,Comptabilité et fiscalite
formation professionnelle,Comptabilité et commerce / gestion
fp beni mellal,management et techniques logistiques du commerce international
freeCodeCamp,"Computer Software Engineering, fundamental software development skills and concepts"
fsjec Meknès,sciences économiques et gestion
fsjes Agadir,droit immobilier
fsjes Ain Sbaa,Marketing et Commerce
fsjes fes,"Affaires / gestion, général, option ""Economie et Gestion""​"
fsjes mohamadia,management logistique appliquee
fsts,reseau
fédération européenne des écoles.,transport et logistique
fédération royal marocaine des sports aérobics et fitness et,Entraînement sportif / entraîneur
goethe institut,la langue allemande
groupe ALCI,Marketing
groupe scolaire belvedère,Comptabilité
hassan II CASABLANCA,DROIT PRIVEE
hassane 1er ENCG,Management de la logistique
hassane 2 university,Informatique - Analyse de Donnees
hassasn II university,English Language and Literature/Letters
highschool of technology- Rabat,water and environment techniques
i.s.t.a,development d'informatique
ibn abad high school,Économie de gestion
ibn baja,"lettre, Baccalauréat scientifique"
ibn khaldoun,Physical Sciences
ibn khaldoun uni,industrial logistics
ibn sina,sciences et technologies electrique
ibn taimya,math sup/spé
ibn tofail,Biotechnologies Alimentaires et Santé
ibn tofail university,english literatures
ibn tofeil university,PLANT PROYTECTION
ibn zaydoun,science physique chemique
ibnou laass,sciences expérimentales svt
ictap,informatique bureautique
iddtl,"Gestion logistique, des matériaux et de la chaîne d'approvisionnement"
ifcs rabat,La dietetique et nutrition
ifiag,Informatique
ifiam formation,Comptabilité et commerce / gestion
ifmat cfpnc,"Aeronautics/Aviation/Aerospace Science and Technology, General"
ifmiac,Génie mécanique
iki,"Gestion logistique, des matériaux et de la chaîne d'approvisionnement"
imam malik,Économie
imame malik,science de la vie et de la terre
imic,"Administration et gestion des affaires, général, Informatique"
industrial management bussnis school,production management
infoges,action commerciale et marketing
ingenieur QSE,qualite securite environnement
institue de metier  de l'aeronautique (IMA),aéronautique
institue des Techniciens Spécialisés en Génie Rurale et Topographie de MEKNES,Topographie
institue spécialisé en technologie appliqué,l'économie
institut  supérieur  de technologie  appliquée,gestion  des  entreprises
institut Architec de Marrakech,Conducteur de Travaux
institut Quasar,Management-Informationssysteme und -Dienste
institut agronomique mediteranneen de montpellier,agro alimentaire
institut architect marrakech,Dessinateur
institut d'architecture et urbanisme,Architecture
institut de déclarant en douane et de transport et logistique,transport et logistique
institut de formation aux carrierres de sante,enseignement paramédicale
institut de formation et de journalisme,prise de vue
"institut de formation én langues vivantes et informatique, Galaxy competence, Tanger.",Communication d'entreprise
institut de technologie hôtelière et touristique fes,Tourisme
institut des mines de marrakech,industrial chemistry
institut des métiers de l'aeronautique,aéronautique
institut du transport aerien general mohamed kabbaj,revision propulseur
institut français de fes,géographie; environnement et gestion des  ressources
institut kiram info,"Administration et gestion des affaires, général"
institut marocain d'audiovisuel et de journalisme,Étude de la communication et des médias
institut marocain d'enseignement professionnel prive,Tourisme et hôtellerie
institut marocain des affaires,Management et Gestion
institut prince sidi mohammed des  commerce et gestion agricol,gestion et commerce agricole
institut prive de formation profissionelle ciel,gestion de navigation et logistique
institut professionnel informatique allal benabdellah,"Programmation / développeur informatique, général"
institut royal de formation des cadres,Entraînement sportif / entraîneur
institut specialise de la technologie appliquee,Administration / gestion des petites entreprises
institut specialisé de technologie applique,Infographie
institut specialisé de technologie appliquée sidi bernoussi,la mécanique
institut specialisé de technologie appliquées,Comptabilité
institut specialisé en hotellerie et du tourisme,gestion hôteliere: option hebergement
institut specialisée de technologie appliquée d'hotellerie et tourisme marrakech,Administration / gestion d'​'hôtel / motel
institut spesialise en genie thermique et froid,energitique
institut spècialisè de technologie APPLIQuÉE MAAMORA kenitra,electromecanique des SYstèmes Automatisèes
institut spécial du technologie appliqu,Commerce international / commerce
institut spécialise de technologie applique,commerce
institut spécialise de technologie appliquée maamoura kenira,Electromécanique de Systémes Automatisés
institut spécialisé  du batiment,Génie civil
institut spécialisé dans les nouvelles technologies de l'information,Informatique
institut spécialisé de gestion et d'informatique,techniques de ventes et négociations
institut spécialisé de la gestion et d'informatique,Développement informatique
institut spécialisé de la technologie appliqué,électromécanique de systèmes automatisé
institut spécialisé de technologie appliquer ISTA TFZ Tanger,plasturgie
institut spécialisé de technologie appliqué,électromécanique des systèmes automatisés
institut spécialisé de technologie appliqué Mohammedia,chimie industrielle
institut spécialisé de technologie appliquée,"20, Économie de gestion, la gestion des entreprises, gestion des entreprises, Électromecanique des systemes automatisée, Électromécanique des systèmes automatiser"
"institut spécialisé de technologie appliquée Maamora, kénitra ,Morocco",technicien comptable d'entreprise
institut spécialisé de technologie appliquée Marrakech,gestion des entreprises
institut spécialisé de technologie appliquée NTIC 2,réseaux informatique
institut spécialisé de technologie appliquée safi,administrateur de personnel
institut spécialisé de technologies en tourisme en hottelerie,management des agences de voyages
institut spécialisé du bâtiment OFPPT,Technologie de construction du bâtiment
institut spécialisé du cinema et l'audiovisuel,Cinématographie et production de films / vidéos
institut spécialisé en technologie appliqué polo,Comptabilité et commerce / gestion
institut spécialisée de technologe appliquée tanger,Fabrication mécanique
institut spécialisée des techniques appliquées AL ADARISSA FES,développement multimédia
institut superieur de gestion et d'informatique casablanca,banque et assurance
institut superieur de technologie,Relations et affaires internationales
institut superieur de technologie appliquée,commerce internetional
institut superieur des travaux appliquée,Commerce international
institut superieur indistruel de marrakech,gros oeuvres
institut supèrieur de technologie appliquées rabat,Commerce international
institut supérieur btp,Génie civil
institut supérieur de l'information et de la communication,"Journalisme, communication des entreprises"
institut supérieur de technologie appliqué,commerce
institut supérieur de technologique et aplication,E-Commerce/
institut supérieur de technologique et d'aplication,E-Commerce
institut supérieur de transport et logistique,management et gestion des activités logistique internationale
institut supérieur des pêches maritimes,Technologie / technicien du contrôle qualité
institut supérieur des études technologique de kairouan Tunis,automatisme et informatique indriel
"institut supérieur du génie thermique et de froid, casablanca",génie climatique
institut supérieur international de tourisme de tanger,Tourisme
institut supérieurs des technologies appliqués,Commerce international
institute of Applied Technology Fez,networking field
institute of applied technologies (ISTA),Business Administration and Management
instituto Ramon y Cajal,estudios de español
instituto de cervantes,spanish degree level A1
intitut de technologie appliquée,Information Technology
ipep,science de vie et de terre
ipiape,gestion informatique
isgi,Administration / gestion des petites entreprises
isgi marrakech,Technicien spécialisé en commerce
isgtf,genie climatique
ishr polo,Culinary Arts/Chef Training
isic,"Audiovisual, Sound Engineering, Pre and Post Production"
isic ain lborja,audiovisuel
ismontic,Développement Informatique
ismotica,Commerce international
ismotica fes,commerce
ista,"réseaux informatiques, BTP, dessin de bâtiment, gestion des entreprises, Informatique, Gestion de complexes hôteliers"
ista adarissa fes,agent technique de vente
ista ain sebaa,Technologie industrielle / technicien industriel
ista ben m'sik,gestion des entreprises
ista btp kenitra,gros oeuvre
ista kenitra,TS méthode en fabrication mécanique
ista kenitra maamora,Économie de gestion
ista maamora,electromecanique
ista maâmoura,Automatisation et instrumentation industrielle
ista narjiss fès,Informatique
ista ntic 2,Mise en réseau de systèmes informatiques et télécommunications
ista ntic syba,"Programmation informatique, applications spécifiques"
ista polo,Administration / gestion des petites entreprises
ista route immouzer fes,services de restauration
ista route imouzar,électronique
it6,Commerce électronique
itsmaer bouknadel/sale,hydraulique urbaine et rural
jabir ibno hayyan,sciences de la vie et de la terre
king Fahd School of translation,Translation
king fahd high institute of translation -tangier,Traduction et interprétation
l'ENSET,technique administrative
l'Ecole Supérieure De Technologie de Casablanca,Techniques de commercialisation
l'IEAM de Paris & l'ASMP,Gestion des Ressources Humaines
"l'ISGI ""Institut Supérieur de Gestion et d'Informatique""",systèmes d’information
l'Institut Supérieure  de Technologie Appliqué Inter - Entreprise .,Technologie de maintenance et réparation électrique / électronique
l'Institut des Hautes Etudes Commerciales de CARTHAGE - TUNISIE,Gestion spécialité: Finance
l'Université Polytechnique Hauts-de-France,Performance industrielle et logistique
l'institut de la technologie appliquée,Comptabilité
l'institut spécialise en fabrication des produits agroalimentaires casablanca,qualité
l'ismotica fes,communication et relation
l'ofppt,cuisine
la Faculté des Sciences Juridiques,Economie et Gestion; Economiques et Sociales
la Faculté des Sciences et Techniques-Mohammedia,Electronique et Informatique
la chambre de commerce et d'industrie et services de Casablanca,Droit de la propriété intellectuelle
le centre régional des métiers de l'éducation et de la formation,Formation et enseignement élémentaires
les classes préparatoires du brevet de technicien supérieur,Comptabilité
libre,Chimie physique
lista a mohammedia,Comptabilité
lnstitut agronomique méditerranéenne de Montpellier,chaîne de valeur et argo-logistiques
lycee Belkorchi,Technique de comptabilité et de Gestion
lycee My idriss fés,sciences physique/chimie
lycee ahmed zaki alaoui,science de la vie et de la terre
lycee el farahidi,sciences de la vie et de la terre
lycee mohamed 5,science de vie et de terre
lycee molay rachid,science
lycee moulay rchid,Science Mathématiques -A-
lycee prince Mly Abdellah,physique / chimie
lycee regnault,Études françaises
lycee technique-settat,CPGE
lycee zaytoune,sciences experimentales
lyceetechnique errazi,comptabilite et gestion des entreprises
lycée,Économie de gestion
lycée  IBN ROUMI-CASABLANCA-,sciences expérimentales
lycée  Salah-Eddine  Al  Ayoubi   FES,Sciences économiques
lycée 6 novembre,"Biologie, général"
lycée ABED EL MALEK ESSADI,science expérimental
lycée Abdelkarim Daoudi,Sciences physique et chimique
lycée Abdelmalek essaadi,Qualité du logiciel; Mathématique Informatiques; Mathématique Informatiques; sciences expérimentales
lycée Abou El Abass Sebti,Sciences physiques
lycée Abou Kassem Zayani,Ingénierie et gestion d’eau et de l’assainissement; gestion D’assainissement; Sciences Physique A
lycée Adarissa,Science vie et terre
lycée Albert Schweitzer de Mulhouse,classe préparatoire MPSI
lycée Alkhansa,la gestion des PME PMI
lycée Chefchaouni,technique de gestion comptable
lycée EL KHANSAA,Économie
lycée ELAMRIA Béni Mellal,Sciences Expérimentales
lycée ENNOUR 2,Chimie physique
lycée El khawarizmi,Sciences physiques
lycée HASSAN 2,Économie
lycée IBN AL YASSAMINE,sciences de la vie et de la terre
lycée Ibn Abbad,Sciences et gestion comptable
lycée Ibn El Yassamine,Sciences Mathématiques A
lycée Ibn El haytam polyvalent a Fès,Comptabilité et commerce / gestion
lycée Ibno Mandour,Génie industriel
lycée Ibno arabi,Sciences physiques
lycée Jaafar El fassi El fihri,sciences expérimentales
lycée Jaber Ben Hayan,Techniques de Gestion Comptable
lycée Jaber bnou hayane,Sciences physiques
lycée Kachkat,science expérimentale
lycée Med 5-kénitra,Économie et gestion
lycée Mohamed 5 casablanca,science mathematique
lycée Mohamed 6 Anassi,Sciences physiques et chimiques
lycée Mohamed V,"tourisme et loisirs, Economie et gestion; économique; science économique; gestion, sciences expérimentales"
lycée Mohammed V,sciences mathématiques
lycée Moulay Idriss I,science économique
lycée Moulay Rchid,sciences physiques
lycée Moulay Slimane,Sciences Mathématiques A
lycée Taha Hussein,Sciences physiques
lycée abdelkarim lahlou,science de la vie et de la terre
lycée abderrahman nacer kenitra,science experimentale
lycée abdlekrim lahlou,sciences de la vie et la terre
lycée abou chouaib dokkali,sciences expérimentaux
lycée ahmed rachidi,lettres modernes
lycée al khawarzmi,Sciences physiques
lycée belkorchi,Économie de gestion
lycée cherif idrissi,science expérimentale S
lycée demnate,Sciences physiques
lycée el jabri,sicences expérimentale SVT
lycée el khansaa,gestion PME/PMI
lycée el yassmin,sciences economiques et gestion
lycée hassan II Casablanca,Sciences expérimentales
lycée iben hazem,sciences expérimentales
lycée ibn al yassamine,l'économie
lycée ibn batouta kenitra,science physique
lycée ibn battouta,science mathématique A
"lycée ibn taymia, CPGE",PSI
lycée ibnolouam,sciences experimentales
lycée idriss 1er,Sciences de la vie et de la terre
lycée imam malik,Sciences mathématiques
lycée jaber ben hayan,technique de gestion comptable
lycée jamal eddine elmahyaoui,Sciences physiques
lycée jorf asfar,sciences expérimentale
lycée lmsalah,Sciences physiques
lycée mohamed 5 Kenitra,Literature
lycée mohammed 5,Science de la vie et de la terre
lycée moukhtar sousi,science de la vie et de la terre
lycée moulay idriss,mathematique
lycée moulay sliman,SVT
lycée omar ibn abdelaziz,sciences maths A
lycée omo ayman,Lettres modernes
lycée oum rabii,Étude des sciences humaines
lycée pince moulay rachid,Sciences physiques
lycée salah eddin ayoubi,lettre moderne
lycée sidi daoud Ouarzazate,science de la vie et la terre
lycée takaddoum,experimental sciences
lycée technique,Comptabilité
lycée technique - ouarzazate,management touristique
